35.035// Avg:35.0175
37.8230848195368// Avg:35.2177794337503
37.8609079043563// Avg:35.2292712966659
37.8987688122607// Avg:35.2408275629672
36,7618057478929// Avg:35,2473835034195 /// Deviation: 3 // on 21:13:37
36.7985675536408// Avg:35.2540409456951
36.8353661211944// Avg:35.2607987455904
36.8722014873156// Avg:35.2676557785339
36.9090736888029// Avg:35.2746109391707
36.9459827624917// Avg:35.2816631409568
36.9829287452542// Avg:35.2888113157648
37.0199116739994// Avg:35.296054413498
37.0569315856734// Avg:35.3033914017154
37.0939885172591// Avg:35.3108212652654
37.1310825057764// Avg:35.3183430059286
37.1682135882822// Avg:35.32595564207
37.2053818018704// Avg:35.3336582082987
37.2425871836723// Avg:35.341449755137
37.279829770856// Avg:35.3493293486968
37.3171096006268// Avg:35.3572960703645
37.3544267102275// Avg:35.365349016493
37.3917811369377// Avg:35.3734872981012
37.4291729180746// Avg:35.3817100405811
37.4666020909927// Avg:35.3900163834114
37.5040686930837// Avg:35.3984054798784
37.5415727617768// Avg:35.4068764968029
37.5791143345385// Avg:35.4154286142743
37.6166934488731// Avg:35.4240610253904
37.654310142322// Avg:35.4327729360034
37.6919644524643// Avg:35.4415635644721
37.7296564169167// Avg:35.4504321414196
37.7673860733337// Avg:35.4593779094964
35,0481342760536// Avg:35,457796203214 /// Deviation: 6 // on 21:14:42
35.0831824103297// Avg:35.4563609013255
35.11826559274// Avg:35.4550704612164
35.1533838583328// Avg:35.4539233638671
35.1885372421911// Avg:35.4529181134062
35.2237257794333// Avg:35.4520532366742
35.2589495052127// Avg:35.4513272827965
35.2942084547179// Avg:35.4507388227663
35.3295026631726// Avg:35.4502864490364
35.3648321658358// Avg:35.4499687751212
35.4001969980017// Avg:35.4497844352059
35.4355971949997// Avg:35.4497320837661
35.4710327921947// Avg:35.4498103951941
35.5065038249869// Avg:35.4500180634351
35.5420103288118// Avg:35.4503538016299
35.5775523391406// Avg:35.4508163417663
35.6131298914798// Avg:35.4514044343377
35.6487430213713// Avg:35.4521168480093
35.6843917643926// Avg:35.4529523692913
35.720076156157// Avg:35.4539098022191
35.7557962323132// Avg:35.4549879680409
35.7915520285455// Avg:35.456185704911
35.8273435805741// Avg:35.4575018675907
35.8631709241546// Avg:35.4589353271545
35.8990340950788// Avg:35.4604849707035
35.9349331291739// Avg:35.4621497010841
35.970868062303// Avg:35.4639284366129
36.0068389303653// Avg:35.4658201108071
36.0428457692957// Avg:35.4678236721213
36.078888615065// Avg:35.4699380836886
36.1149675036801// Avg:35.4721623230679
36.1510824711837// Avg:35.4744953819961
36.1872335536549// Avg:35.4769362661456
36.2234207872086// Avg:35.4794839948865
36.2596442079958// Avg:35.4821376010535
36.2959038522038// Avg:35.4848961307184
36.332199756056// Avg:35.4877586429662
36.368531955812// Avg:35.4907242096761
36.4049004877678// Avg:35.4937919153073
36.4413053882556// Avg:35.4969608566884
36.4777466936439// Avg:35.5002301428116
36.5142244403375// Avg:35.5035988946306
36.5507386647779// Avg:35.5070662448629
36.5872894034426// Avg:35.5106313377955
36.6238766928461// Avg:35.514293329095
36.6605005695389// Avg:35.518051385621
36.6971610701085// Avg:35.5219046852435
36.7338582311786// Avg:35.5258524166635
36.7705920894097// Avg:35.5298937792374
36.8073626814992// Avg:35.5340279828045
36.8441700441807// Avg:35.5382542475187
36.8810142142248// Avg:35.5425718036817
36.9178952284391// Avg:35.5469798915816
36.9548131236675// Avg:35.5514777613326
36.9917679367912// Avg:35.5560646727195
37.028759704728// Avg:35.5607398950433
37.0657884644327// Avg:35.5655027069717
36,6951305797884// Avg:35,5690662018387 /// Deviation: 1 // on 21:17:17
36.7318257103681// Avg:35.5727226782806
36,3645074532645// Avg:35,5752047622147 /// Deviation: 1 // on 21:17:20
36.4008719607177// Avg:35.57778497221
36.4372728326784// Avg:35.5804625044856
36.4737101055111// Avg:35.5832365653584
36.5101838156166// Avg:35.5861063710867
36.5466939994323// Avg:35.5890711477174
36.5832406934317// Avg:35.592130130935
36.6198239341251// Avg:35.5952825659141
36.6564437580592// Avg:35.5985277071745
36.6931002018173// Avg:35.6018648184387
